WDPAID,NAME,CONTINENT,COUNTRY,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,?,MEAN_VISITATION,SOURCE,NOTES,,,,,,,,,,,,,,
354890,Heathcote-Graytown National Park,Oceania,Australia,,,,,,,,,,,,,,,,42370,,,,,,,,,,42370,Levin et al. (2015),,,,,,,,,,,,,,,
555576625,Barwon,Oceania,Australia,,,,,,,,,,,,,,,,42934,,,,,,,,,,42934,Levin et al. (2015),,,,,,,,,,,,,,,
127242,Cape Conran Coastal Park,Oceania,Australia,,,,,,,,,,,,,,,,43340,,,,,,,,,,43340,Levin et al. (2015),,,,,,,,,,,,,,,
356777,Mount Arapiles-Tooan,Oceania,Australia,,,,,,,,,,,,,,,,43377,,,,,,,,,,43377,Levin et al. (2015),,,,,,,,,,,,,,,
24694,Kooyoora,Oceania,Australia,,,,,,,,,,,,,,,,43635,,,,,,,,,,43635,Levin et al. (2015),,,,,,,,,,,,,,,
311659,Enfield,Oceania,Australia,,,,,,,,,,,,,,,,44148,,,,,,,,,,44148,Levin et al. (2015),,,,,,,,,,,,,,,
127186,Mitchell River,Oceania,Australia,,,,,,,,,,,,,,,,45126,,,,,,,,,,45126,Levin et al. (2015),,,,,,,,,,,,,,,
126987,Southwest,Oceania,Australia,,,,,,35000,60000,65000,61000,27000,30000,,,,,,,,,,,,,,,46333.33,Balmford et al. (2015),,,,,,,,,,,,,,,
525,Narawntapu,Oceania,Australia,,,,,,,,,,,,,,,,,,,44000,46000,48000,49000,,,,46750,https://www.parks.tas.gov.au/file.aspx?id=49373 (accessed 07/08/2019),,,,,,,,,,,,,,,
309544,Mole Creek Karst,Oceania,Australia,,,50395,50660,45370,44082,48630,45423,43568,46809,46018,46388,,,,,,,51000,55000,46000,63000,,,,48738.79,Balmford et al. (2015); https://www.parks.tas.gov.au/file.aspx?id=49373 (accessed 07/08/2019),,,,,,,,,,,,,,,
314492,Raymond Island G.L.R.,Oceania,Australia,,,,,,,,,,,,,,,,50555,,,,,,,,,,50555,Levin et al. (2015),,,,,,,,,,,,,,,
305353,Ricketts Point,Oceania,Australia,,,,,,,,,,,,,,,,50858,,,,,,,,,,50858,Levin et al. (2015),,,,,,,,,,,,,,,
549,The Lakes National Park,Oceania,Australia,,,,,,,,,,,,,,,,51061,,,,,,,,,,51061,Levin et al. (2015),,,,,,,,,,,,,,,
24874,Werribee Gorge,Oceania,Australia,,,,,,,,,,,,,,,,53003,,,,,,,,,,53003,Levin et al. (2015),,,,,,,,,,,,,,,
2688,Nooramunga Marine and Coastal Park,Oceania,Australia,,,,,,,,,,,,,,,,54094,,,,,,,,,,54094,Levin et al. (2015),,,,,,,,,,,,,,,
311804,Nyah B.R.,Oceania,Australia,,,,,,,,,,,,,,,,59152,,,,,,,,,,59152,Levin et al. (2015),,,,,,,,,,,,,,,
314100,Snowy River,Oceania,Australia,,,,,,,,,,,,,,,,59928,,,,,,,,,,59928,Levin et al. (2015),,,,,,,,,,,,,,,
127207,Cathedral Range,Oceania,Australia,,,,,,,,,,,,,,,,71661,,,,,,,,,,71661,Levin et al. (2015),,,,,,,,,,,,,,,
309164,Wright Forest B.R.,Oceania,Australia,,,,,,,,,,,,,,,,72272,,,,,,,,,,72272,Levin et al. (2015),,,,,,,,,,,,,,,
63165,Murray - Sunset National Park,Oceania,Australia,,,,,,,,,,,,,,,,76438,,,,,,,,,,76438,Levin et al. (2015),,,,,,,,,,,,,,,
127244,Cape Liptrap Coastal Park,Oceania,Australia,,,,,,,,,,,,,,,,80904,,,,,,,,,,80904,Levin et al. (2015),,,,,,,,,,,,,,,
126538,Little Desert National Park,Oceania,Australia,,,,,,,,,,,,,,,,99566,,,,,,,,,,99566,Levin et al. (2015),,,,,,,,,,,,,,,
24738,Lerderderg,Oceania,Australia,,,,,,,,,,,,,,,,109084,,,,,,,,,,109084,Levin et al. (2015),,,,,,,,,,,,,,,
305993,Port Phillip Heads,Oceania,Australia,,,,,,,,,,,,,,,,123594,,,,,,,,,,123594,Levin et al. (2015),,,,,,,,,,,,,,,
24770,Mount Napier,Oceania,Australia,,,,,,,,,,,,,,,,123719,,,,,,,,,,123719,Levin et al. (2015),,,,,,,,,,,,,,,
24580,Baw Baw National Park,Oceania,Australia,,,,,,,,,,,,,,,,128633,,,,,,,,,,128633,Levin et al. (2015),,,,,,,,,,,,,,,
305503,Bunurong,Oceania,Australia,,,,,,,,,,,,,,,,138033,,,,,,,,,,138033,Levin et al. (2015),,,,,,,,,,,,,,,
314062,Mount Field,Oceania,Australia,,,141000,130700,138700,105102,116398,130855,128959,116547,109347,115490,,,,,,,147000,189000,194000,196000,,,,139935.57,Balmford et al. (2015); https://www.parks.tas.gov.au/file.aspx?id=49373 (accessed 07/08/2019),,,,,,,,,,,,,,,
314685,Tower Hill W.R,Oceania,Australia,,,,,,,,,,,,,,,,148150,,,,,,,,,,148150,Levin et al. (2015),,,,,,,,,,,,,,,
126553,Lower Glenelg River,Oceania,Australia,,,,,,,,,,,,,,,,150914,,,,,,,,,,150914,Levin et al. (2015),,,,,,,,,,,,,,,
24765,Morwell National Park,Oceania,Australia,,,,,,,,,,,,,,,,158940,,,,,,,,,,158940,Levin et al. (2015),,,,,,,,,,,,,,,
24845,Tarra-Bulga National Park,Oceania,Australia,,,,,,,,,,,,,,,,176798,,,,,,,,,,176798,Levin et al. (2015),,,,,,,,,,,,,,,
24617,Churchill National Park,Oceania,Australia,,,,,,,,,,,,,,,,180352,,,,,,,,,,180352,Levin et al. (2015),,,,,,,,,,,,,,,
393,Kakadu,Oceania,Australia,,,,,200000,,,,,,,,,,,,,,,,,,,,,200000,Buckley (2002),,,,,,,,,,,,,,,
309432,Freycinet,Oceania,Australia,,,156000,187000,164000,169509,194081,197645,206436,203046,208045,207225,,,,,,,232000,272000,292000,310000,,,,214213.36,Balmford et al. (2015); https://www.parks.tas.gov.au/file.aspx?id=49373 (accessed 07/08/2019),,,,,,,,,,,,,,,
546,Brisbane Ranges National Park,Oceania,Australia,,,,,,,,,,,,,,,,229655,,,,,,,,,,229655,Levin et al. (2015),,,,,,,,,,,,,,,
2687,Gippsland Lakes Coastal Park,Oceania,Australia,,,,,,,,,,,,,,,,230342,,,,,,,,,,230342,Levin et al. (2015),,,,,,,,,,,,,,,
354464,Chiltern-Mt Pilot National Park,Oceania,Australia,,,,,,,,,,,,,,,,238645,,,,,,,,,,238645,Levin et al. (2015),,,,,,,,,,,,,,,
64353,Bunyip,Oceania,Australia,,,,,,,,,,,,,,,,250632,,,,,,,,,,250632,Levin et al. (2015),,,,,,,,,,,,,,,
313840,Litchfield,Oceania,Australia,,,,273000,,,,,,,,,,,,,,,,,,,,,,273000,Thorsell & Sigaty (1998),,,,,,,,,,,,,,,
309349,Cradle Mountain-Lake St Clair,Oceania,Australia,,,204000,240000,225000,227583,264284,286620,283078,262930,269493,269804,,,,,,,284000,325000,342000,375000,,,,275628,Balmford et al. (2015); https://www.parks.tas.gov.au/file.aspx?id=49373 (accessed 07/08/2019),,,,,,,,,,,,,,,
354841,Greater Bendigo National Park,Oceania,Australia,,,,,,,,,,,,,,,,277379,,,,,,,,,,277379,Levin et al. (2015),,,,,,,,,,,,,,,
2403,Port Campbell National Park,Oceania,Australia,,,,,,,,,,,,,,,,277925,,,,,,,,,,277925,Levin et al. (2015),,,,,,,,,,,,,,,
555548814,Barmah National Park,Oceania,Australia,,,,,,,,,,,,,,,,286713,,,,,,,,,,286713,Levin et al. (2015),,,,,,,,,,,,,,,
2029,Croajingolong National Park,Oceania,Australia,,,,,,,,,,,,,,,,289928,,,,,,,,,,289928,Levin et al. (2015),,,,,,,,,,,,,,,
535,Mount Buffalo National Park,Oceania,Australia,,,,,,,,,,,,,,,,300124,,,,,,,,,,300124,Levin et al. (2015),,,,,,,,,,,,,,,
24027,Moreton Island,Oceania,Australia,,,,,,,350000,,,,,,,,,,,,,,,,,,,350000,http://www.fido.org.au/moonbi/backgrounders/11%20Carry%20Capacity.pdf (accessed 07/11/2014),,,,,,,,,,,,,,,
306650,Lake Eildon National Park,Oceania,Australia,,,,,,,,,,,,,,,,377694,,,,,,,,,,377694,Levin et al. (2015),,,,,,,,,,,,,,,
313663,Uluru-Kata Tjuta,Oceania,Australia,,,,,380000,,,,,,,,,,,,,,,,,,,,,380000,Buckley (2002),,,,,,,,,,,,,,,
24574,Arthurs Seat,Oceania,Australia,,,,,,,,,,,,,,,,416710,,,,,,,,,,416710,Levin et al. (2015),,,,,,,,,,,,,,,
555625012,Daisy Hill,Oceania,Australia,,,,,,,,,,,,,,,,,442000,,,,,,,,,442000,Queensland Parks and Wildlife Service (2012),,,,,,,,,,,,,,,
406,Whitsunday Islands,Oceania,Australia,,,,,,,,,,,,,,,,,514000,,,,,,,,,514000,Queensland Parks and Wildlife Service (2012),,,,,,,,,,,,,,,
543,Kinglake National Park,Oceania,Australia,,,,,,,,,,,,,,,,519567,,,,,,,,,,519567,Levin et al. (2015),,,,,,,,,,,,,,,
357026,Point Nepean National Park,Oceania,Australia,,,,,,,,,,,,,,,,573941,,,,,,,,,,573941,Levin et al. (2015),,,,,,,,,,,,,,,
102573,Yarra Ranges National Park,Oceania,Australia,,,,,,,,,,,,,,,,580591,,,,,,,,,,580591,Levin et al. (2015),,,,,,,,,,,,,,,
314101,Wilsons Promontory,Oceania,Australia,,,,,,,,,,,,,,,,700543,,,,,,,,,,700543,Levin et al. (2015),,,,,,,,,,,,,,,
405,Daintree,Oceania,Australia,,,,,,,,,,,,,,,,,753000,,,,,,,,,753000,Queensland Parks and Wildlife Service (2012),,,,,,,,,,,,,,,
24871,Warrandyte,Oceania,Australia,,,,,,,,,,,,,,,,782451,,,,,,,,,,782451,Levin et al. (2015),,,,,,,,,,,,,,,
313895,D'Aguilar,Oceania,Australia,,,,,,,,,,,,,,,,,812000,,,,,,,,,812000,Queensland Parks and Wildlife Service (2012),,,,,,,,,,,,,,,
126061,Bribie Island,Oceania,Australia,,,,,,,,,,,,,,,,,986000,,,,,,,,,986000,Queensland Parks and Wildlife Service (2012),,,,,,,,,,,,,,,
126620,Mornington Peninsula National Park,Oceania,Australia,,,,,,,,,,,,,,,,1004895,,,,,,,,,,1004895,Levin et al. (2015),,,,,,,,,,,,,,,
311888,Lamington,Oceania,Australia,,,,,,,,,,,,,,,,,1214000,,,,,,,,,1214000,Queensland Parks and Wildlife Service (2012),,,,,,,,,,,,,,,
62941,Alpine National Park,Oceania,Australia,,,,,,,,,,,,,,,,1320618,,,,,,,,,,1320618,Levin et al. (2015),,,,,,,,,,,,,,,
10607,Grampians National Park,Oceania,Australia,,,,,,,,,,,,,,,,1573429,,,,,,,,,,1573429,Levin et al. (2015),,,,,,,,,,,,,,,
64065,Tamborine,Oceania,Australia,,,,,,,,,,,,,,,,,1727000,,,,,,,,,1727000,Queensland Parks and Wildlife Service (2012),,,,,,,,,,,,,,,
354835,Great Otway National Park,Oceania,Australia,,,,,,,,,,,,,,,,1855362,,,,,,,,,,1855362,Levin et al. (2015),,,,,,,,,,,,,,,
24160,Noosa,Oceania,Australia,,,,,,,,,,,,,,,,,2041000,,,,,,,,,2041000,Queensland Parks and Wildlife Service (2012),,,,,,,,,,,,,,,
24633,Dandenong Ranges National Park,Oceania,Australia,,,,,,,,,,,,,,,,3454984,,,,,,,,,,3454984,Levin et al. (2015),,,,,,,,,,,,,,,
309914,Great Sandy,Oceania,Australia,,,,,,,,,,,,,,,,,3685000,,,,,,,,,3685000,Queensland Parks and Wildlife Service (2012),,,,,,,,,,,,,,,
169114,Raab,Europe,Austria,,,,,,,,,,,30796,,,,,,,,,,,,,,,30796,Weixlbaumer et al. (2007),,,,,,,,,,,,,,,
166863,Crooked Tree,Central America,Belize,,,1483,1619,,,,,,,,,,,,,,,,,,,,,,1551,Brown (2001),,,,,,,,,,,,,,,
10579,Cockscomb Basin,Central America,Belize,,,4078,3603,,,,,,,,,,,,,,,,,,,,,,3840.5,Brown (2001),,,,,,,,,,,,,,,
19553,Bermudian Landing Community Baboon Sanctuary,Central America,Belize,,,4676,4011,,,,,,,,,15000,,,,,,,,,,,,,7895.67,Brown (2001); Buckley (2010),,,,,,,,,,,,,,,
597,Boucle de la Pendjari,Africa,Benin,,,6467,6656,6161,6257,4933,4394,6688,6315,8582,,,,,,,,,,,,,,,6272.56,Thomas Armitt (African Parks) pers. commun.,,,,,,,,,,,,,,,
303895,Cotapata,South America,Bolivia,,,,,,,,,,,,,,,,,3548,4349,3317,2915,2125,2043,,,,3234.4,http://sernap.gob.bo/,,,,,,,,,,,,,,,
19275,Parque Nacional Da Serra Do Divisor,South America,Brazil,,,,,,,,,,,,100,,,,,,,,,,,,,,100,Balmford et al. (2015),,,,,,,,,,,,,,,
198366,Parque Nacional Serra Das Confusões,South America,Brazil,,,,,0,0,0,0,0,1104,,,,,,,,,,,,,,,,184,http://www.birdlist.org/downloads/parks/visitation_protected_areas_megacountries_with_megadiversity.pdf (accessed 07/08/2019); Balmford et al. (2015),,,,,,,,,,,,,,,
351741,Parque Nacional Cavernas Do Peruaçu,South America,Brazil,,,,,,,,,,,,,,,,,,210,,,,,,,,210,https://parksjournal.com/wp-content/uploads/2015/10/Viveiros-de-Castro-et-al-PARKS-21.2-10.2305IUCN.CH_.2014.PARKS-21-2EVDC.en_.pdf (accessed 19/09/2019),,,,,,,,,,,,,,,
351730,Parque Nacional Da Serra Da Bodoquena,South America,Brazil,,,,,,,,,,,,,,,,,,226,,,,,,,,226,https://parksjournal.com/wp-content/uploads/2015/10/Viveiros-de-Castro-et-al-PARKS-21.2-10.2305IUCN.CH_.2014.PARKS-21-2EVDC.en_.pdf (accessed 19/09/2019),,,,,,,,,,,,,,,
53,Parque Nacional Do Jaú,South America,Brazil,,,885,,,,,,,,,,,,,,,292,,,,,,,,588.5,UNEP-WCMC (2012b); https://parksjournal.com/wp-content/uploads/2015/10/Viveiros-de-Castro-et-al-PARKS-21.2-10.2305IUCN.CH_.2014.PARKS-21-2EVDC.en_.pdf (accessed 19/09/2019),,,,,,,,,,,,,,,
55,Parque Nacional Da Amazônia,South America,Brazil,,,,,,,,,,,,,,,,,,686,,,,,,,,686,https://parksjournal.com/wp-content/uploads/2015/10/Viveiros-de-Castro-et-al-PARKS-21.2-10.2305IUCN.CH_.2014.PARKS-21-2EVDC.en_.pdf (accessed 19/09/2019),,,,,,,,,,,,,,,
62,Parque Nacional Das Emas,South America,Brazil,,,,,0,0,0,0,0,1658,,4000,,,,,,2325,,,,,,,,997.88,http://www.birdlist.org/downloads/parks/visitation_protected_areas_megacountries_with_megadiversity.pdf (accessed 07/08/2019); Balmford et al. (2015); https://parksjournal.com/wp-content/uploads/2015/10/Viveiros-de-Castro-et-al-PARKS-21.2-10.2305IUCN.CH_.2014.PARKS-21-2EVDC.en_.pdf (accessed 19/09/2019),,,,,,,,,,,,,,,
198281,Parque Nacional Viruá,South America,Brazil,,,,,,,,,,,,,,,,,,2000,,,,,,,,2000,https://parksjournal.com/wp-content/uploads/2015/10/Viveiros-de-Castro-et-al-PARKS-21.2-10.2305IUCN.CH_.2014.PARKS-21-2EVDC.en_.pdf (accessed 19/09/2019),,,,,,,,,,,,,,,
64,Parque Nacional Da Serra Da Capivara,South America,Brazil,,,,,0,5274,3014,3908,7107,6978,,,,,,,,19998,,,,,,,,6611.29,http://www.birdlist.org/downloads/parks/visitation_protected_areas_megacountries_with_megadiversity.pdf (accessed 07/08/2019); https://parksjournal.com/wp-content/uploads/2015/10/Viveiros-de-Castro-et-al-PARKS-21.2-10.2305IUCN.CH_.2014.PARKS-21-2EVDC.en_.pdf (accessed 19/09/2019),,,,,,,,,,,,,,,
351828,Parque Nacional Da Serra Do Itajaí,South America,Brazil,,,,,,,,,,,,,,,,,,10221,,,,,,,,10221,https://parksjournal.com/wp-content/uploads/2015/10/Viveiros-de-Castro-et-al-PARKS-21.2-10.2305IUCN.CH_.2014.PARKS-21-2EVDC.en_.pdf (accessed 19/09/2019),,,,,,,,,,,,,,,
19737,Parque Nacional Da Serra Da Cipó,South America,Brazil,,,,,432,0,11918,14342,13132,12900,,,,,,,,25438,,,,,,,,11166,http://www.birdlist.org/downloads/parks/visitation_protected_areas_megacountries_with_megadiversity.pdf (accessed 07/08/2019); Balmford et al. (2015); https://parksjournal.com/wp-content/uploads/2015/10/Viveiros-de-Castro-et-al-PARKS-21.2-10.2305IUCN.CH_.2014.PARKS-21-2EVDC.en_.pdf (accessed 19/09/2019),,,,,,,,,,,,,,,
